,id,name,des,last refreshed,from,to
60,100286,Kotak Mahindra Mutual Fund - Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01450<br><br>ISIN Div Reinvestment: INF174K01443,14-05-2021 20:00,03-04-2006,14-05-2021
61,100291,Kotak Mahindra Mutual Fund - Kotak Bond-Deposit-Dividend,ISIN Div Payout/ ISIN Growth: INF174K01EK4<br><br>ISIN Div Reinvestment: INF174K01EL2,14-05-2021 20:00,02-04-2006,21-10-2016
62,100292,Kotak Mahindra Mutual Fund - Kotak Bond-Deposit-Growth,ISIN Div Payout/ ISIN Growth: INF174K01EJ6,14-05-2021 20:00,02-04-2006,21-10-2016
63,100298,Kotak Mahindra Mutual Fund - Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01EO6<br><br>ISIN Div Reinvestment: INF174K01EN8,14-05-2021 20:00,02-04-2006,14-05-2021
64,100299,Kotak Mahindra Mutual Fund - Kotak Bond Regular Plan Growth,ISIN Div Payout/ ISIN Growth: INF174K01EM0,14-05-2021 20:00,02-04-2006,14-05-2021
65,100300,Kotak Mahindra Mutual Fund - Kotak Bond Regular Plan Annual Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01EQ1<br><br>ISIN Div Reinvestment: INF174K01EP3,14-05-2021 20:00,02-04-2006,14-05-2021
66,100301,Kotak Mahindra Mutual Fund - Kotak Bond Regular Plan Bonus Plan,ISIN Div Payout/ ISIN Growth: INF174K01ER9,14-05-2021 20:00,02-04-2006,21-10-2016
67,100312,LIC Mutual Fund - LIC MF Flexi Cap Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01063<br><br>ISIN Div Reinvestment: INF767K01055,14-05-2021 20:00,03-04-2006,14-05-2021
68,100313,LIC Mutual Fund - LIC MF Flexi Cap Fund-Regular Plan-Growth,ISIN Div Payout/ ISIN Growth: INF767K01071,14-05-2021 20:00,03-04-2006,14-05-2021
69,100314,LIC Mutual Fund - LIC MF Bond Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01907<br><br>ISIN Div Reinvestment: INF767K01915,14-05-2021 20:00,03-04-2006,14-05-2021
70,100315,LIC Mutual Fund - LIC MF Bond Fund-Regular Plan-Growth,ISIN Div Payout/ ISIN Growth: INF767K01923,14-05-2021 20:00,03-04-2006,14-05-2021
71,100316,LIC Mutual Fund - LIC MF Government Securities Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01683<br><br>ISIN Div Reinvestment: INF767K01691,14-05-2021 20:00,03-04-2006,14-05-2021
72,100317,LIC Mutual Fund - LIC MF Government Securities Fund-Regular Plan-Growth,ISIN Div Payout/ ISIN Growth: INF767K01709,14-05-2021 20:00,03-04-2006,14-05-2021
73,100318,LIC Mutual Fund - LIC MF Government Securities Fund-PF Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01717<br><br>ISIN Div Reinvestment: INF767K01725,14-05-2021 20:00,03-04-2006,14-05-2021
74,100319,LIC Mutual Fund - LIC MF Government Securities Fund-PF Plan-Growth,ISIN Div Payout/ ISIN Growth: INF767K01733,14-05-2021 20:00,03-04-2006,14-05-2021
75,100321,LIC Mutual Fund - LIC MF Equity Hybrid Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01022<br><br>ISIN Div Reinvestment: INF767K01014,14-05-2021 20:00,03-04-2006,14-05-2021
76,100323,LIC Mutual Fund - LIC MF Equity Hybrid Fund-Regular Plan-Growth,ISIN Div Payout/ ISIN Growth: INF767K01030,14-05-2021 20:00,03-04-2006,14-05-2021
77,100325,LIC Mutual Fund - LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,ISIN Div Reinvestment: INF767K01964,14-05-2021 20:00,03-04-2006,14-05-2021
78,100332,LIC Mutual Fund - LIC MF Large Cap Fund-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01097<br><br>ISIN Div Reinvestment: INF767K01089,14-05-2021 20:00,03-04-2006,14-05-2021
79,100337,Sahara Mutual Fund - SaharaTax Gain-Dividend,ISIN Div Payout/ ISIN Growth: INF515L01189<br><br>ISIN Div Reinvestment: INF515L01197,19-01-2021 20:00,03-04-2006,03-04-2020
80,100338,Sahara Mutual Fund - SaharaTax Gain-Growth,ISIN Div Payout/ ISIN Growth: INF515L01205,19-01-2021 20:00,03-04-2006,03-04-2020
81,100348,ICICI Prudential Mutual Fund - ICICI Prudential Large & Mid Cap Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EQ7<br><br>ISIN Div Reinvestment: INF109K01449,14-05-2021 20:00,02-04-2006,14-05-2021
82,100349,ICICI Prudential Mutual Fund - ICICI Prudential Large & Mid Cap Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01431,14-05-2021 20:00,02-04-2006,14-05-2021
83,100351,ICICI Prudential Mutual Fund - ICICI Prudential FMCG Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01EO2<br><br>ISIN Div Reinvestment: INF109K01423,14-05-2021 20:00,02-04-2006,14-05-2021
84,100352,ICICI Prudential Mutual Fund - ICICI Prudential FMCG Fund - Growth,ISIN Div Payout/ ISIN Growth: INF109K01415,14-05-2021 20:00,02-04-2006,14-05-2021
