label,id,name,des,last refreshed,from,to
150,100537,Franklin Templeton Mutual Fund - Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01BL0<br><br>ISIN Div Reinvestment: INF090I01BI6,14-05-2021 20:00,03-04-2006,14-05-2021
151,100538,Franklin Templeton Mutual Fund - Franklin India Liquid Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF090I01BB1,14-05-2021 20:00,03-04-2006,14-05-2021
153,100546,Franklin Templeton Mutual Fund - Franklin India Liquid Fund - Super Institutional Plan - Growth,ISIN Div Payout/ ISIN Growth: INF090I01BG0,14-05-2021 20:00,03-04-2006,14-05-2021
154,100547,Franklin Templeton Mutual Fund - Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,ISIN Div Reinvestment: INF090I01BF2,14-05-2021 20:00,03-04-2006,14-05-2021
164,100603,Sundaram Mutual Fund - Sundaram Medium Term Bond Fund Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF903J01FQ2,14-05-2021 20:00,03-04-2006,14-05-2021
166,100605,Sundaram Mutual Fund - Sundaram Medium Term Bond Fund Institutional Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FZ3<br><br>ISIN Div Reinvestment: INF903J01GC0,14-05-2021 20:00,03-04-2006,26-09-2013
167,100606,Sundaram Mutual Fund - Sundaram Medium Term Bond Fund Institutional Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01GA4<br><br>ISIN Div Reinvestment: INF903J01GD8,14-05-2021 20:00,19-06-2006,26-09-2013
170,100609,Sundaram Mutual Fund - Sundaram Medium Term Bond Fund Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01FS8<br><br>ISIN Div Reinvestment: INF903J01FV2,14-05-2021 20:00,03-04-2006,14-05-2021
176,100619,Sundaram Mutual Fund - Sundaram Money Fund Retail Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Reinvestment: INF903J01GM9,14-05-2021 20:00,03-04-2006,14-05-2021
177,100620,Sundaram Mutual Fund - Sundaram Money Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Reinvestment: INF903J01GI7,14-05-2021 20:00,03-04-2006,14-05-2021
178,100621,Sundaram Mutual Fund - Sundaram Money Fund Retail Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Reinvestment: INF903J01GJ5,14-05-2021 20:00,03-04-2006,14-05-2021
179,100622,Sundaram Mutual Fund - Sundaram Money Fund Retail Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Reinvestment: INF903J01GK3,14-05-2021 20:00,03-04-2006,14-05-2021
184,100639,SBI Mutual Fund - SBI Magnum Income Fund-REGULAR PLAN-Growth,ISIN Div Payout/ ISIN Growth: INF200K01594,14-05-2021 20:00,03-04-2006,14-05-2021
187,100643,SBI Mutual Fund - SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),ISIN Div Payout/ ISIN Growth: INF200K01420<br><br>ISIN Div Reinvestment: INF200K01438,14-05-2021 20:00,03-04-2006,14-05-2021
188,100644,SBI Mutual Fund - SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),ISIN Div Payout/ ISIN Growth: INF200K01453<br><br>ISIN Div Reinvestment: INF200K01461,14-05-2021 20:00,03-04-2006,14-05-2021
199,100684,UTI Mutual Fund - UTI - Hybrid Equity Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF789F01323,14-05-2021 20:00,03-04-2006,14-05-2021
202,100724,UTI Mutual Fund - UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,ISIN Div Reinvestment: INF789F01BD0,14-05-2021 20:00,01-04-2006,14-05-2021
210,100782,Sundaram Mutual Fund - Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Reinvestment: INF903J01IP8,14-05-2021 20:00,03-04-2006,14-05-2021
213,100785,Sundaram Mutual Fund - Sundaram Corporate Bond Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01HX4<br><br>ISIN Div Reinvestment: INF903J01IB8,14-05-2021 20:00,03-04-2006,14-05-2021
214,100786,Sundaram Mutual Fund - Sundaram Corporate Bond Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01HY2<br><br>ISIN Div Reinvestment: INF903J01IC6,14-05-2021 20:00,03-04-2006,14-05-2021
215,100787,Sundaram Mutual Fund - Sundaram Corporate Bond Fund Regular Plan - Half yearly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01HZ9<br><br>ISIN Div Reinvestment: INF903J01ID4,14-05-2021 20:00,03-04-2006,14-05-2021
218,100790,Sundaram Mutual Fund - Sundaram Corporate Bond Fund Institutional Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),ISIN Div Payout/ ISIN Growth: INF903J01IG7<br><br>ISIN Div Reinvestment: INF903J01II3,14-05-2021 20:00,03-04-2006,29-03-2016
